contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType
AAPL260320C00090000,2025-04-14 18:44:29+00:00,90.0,119.88,117.8,119.2,0.0,0.0,,76,0.6552158502197267,True,REGULAR,USD,call
AAPL260320C00095000,2025-04-09 16:19:20+00:00,95.0,90.7,112.9,114.55,0.0,0.0,,1,0.6286658227539064,True,REGULAR,USD,call
AAPL260320C00100000,2025-05-01 19:46:15+00:00,100.0,117.5,108.35,110.1,0.0,0.0,4.0,39,0.6146278771972657,True,REGULAR,USD,call
AAPL260320C00105000,2025-04-23 18:51:09+00:00,105.0,104.5,103.4,105.5,0.0,0.0,4.0,30,0.5886881951904297,True,REGULAR,USD,call
AAPL260320C00110000,2025-04-25 17:58:11+00:00,110.0,102.55,98.85,100.85,0.0,0.0,1.0,24,0.5697674859619142,True,REGULAR,USD,call
AAPL260320C00115000,2025-05-01 16:10:25+00:00,115.0,102.5,94.0,96.05,0.0,0.0,1.0,99,0.5429122857666018,True,REGULAR,USD,call
AAPL260320C00120000,2025-04-28 19:50:01+00:00,120.0,96.63,89.55,91.65,0.0,0.0,7.0,53,0.5295457202148439,True,REGULAR,USD,call
AAPL260320C00125000,2025-04-30 18:13:46+00:00,125.0,92.4,86.05,86.45,0.0,0.0,1.0,78,0.5172777764892578,True,REGULAR,USD,call
AAPL260320C00130000,2025-04-30 13:36:24+00:00,130.0,85.0,81.65,82.25,0.0,0.0,2.0,220,0.5051929364013672,True,REGULAR,USD,call
AAPL260320C00135000,2025-04-29 16:13:58+00:00,135.0,78.6,77.15,77.8,-4.4500046,-5.3582234,5.0,116,0.4957020645141602,True,REGULAR,USD,call
AAPL260320C00140000,2025-04-29 15:13:18+00:00,140.0,71.3,72.9,73.25,-7.5999985,-9.632444,2.0,144,0.4755301470947265,True,REGULAR,USD,call
AAPL260320C00145000,2025-04-30 18:28:34+00:00,145.0,74.35,68.75,69.05,0.0,0.0,2.0,169,0.46286547882080087,True,REGULAR,USD,call
AAPL260320C00150000,2025-05-02 13:41:59+00:00,150.0,64.7,64.5,64.85,-7.130005,-9.926221,14.0,487,0.4491632232666015,True,REGULAR,USD,call
AAPL260320C00155000,2025-04-23 15:30:55+00:00,155.0,61.4,60.4,60.8,0.0,0.0,7.0,318,0.437505625,True,REGULAR,USD,call
AAPL260320C00160000,2025-05-01 13:31:12+00:00,160.0,61.45,56.35,56.65,0.0,0.0,1.0,289,0.422857333984375,True,REGULAR,USD,call
AAPL260320C00165000,2025-04-28 19:50:33+00:00,165.0,58.23,52.5,52.85,0.0,0.0,2.0,152,0.41342749664306633,True,REGULAR,USD,call
AAPL260320C00170000,2025-05-02 14:27:56+00:00,170.0,48.74,48.55,48.95,-6.5099983,-11.782803,33.0,278,0.4009459320068359,True,REGULAR,USD,call
AAPL260320C00175000,2025-05-02 15:12:00+00:00,175.0,44.89,44.9,45.2,-4.760002,-9.587113,11.0,337,0.38968505828857425,True,REGULAR,USD,call
AAPL260320C00180000,2025-05-02 15:12:46+00:00,180.0,41.4,41.35,41.65,-6.549999,-13.660061,9.0,591,0.38019418640136715,True,REGULAR,USD,call
AAPL260320C00185000,2025-05-01 19:51:55+00:00,185.0,37.25,37.9,38.3,-7.75,-17.222221,6.0,391,0.37210710906982425,True,REGULAR,USD,call
AAPL260320C00190000,2025-05-02 14:54:49+00:00,190.0,34.95,34.8,35.05,-7.049999,-16.785713,14.0,787,0.363836928100586,True,REGULAR,USD,call
AAPL260320C00195000,2025-05-02 15:04:52+00:00,195.0,31.62,31.5,31.8,-6.58,-17.22513,7.0,1795,0.3539798489379882,True,REGULAR,USD,call
AAPL260320C00200000,2025-05-02 15:32:02+00:00,200.0,28.75,28.6,28.85,-6.3499985,-18.091166,1042.0,3510,0.3465336343383788,True,REGULAR,USD,call
AAPL260320C00210000,2025-05-02 15:14:57+00:00,210.0,23.2,23.1,23.3,-6.0,-20.44293,182.0,953,0.33103085968017576,False,REGULAR,USD,call
AAPL260320C00220000,2025-05-02 15:39:34+00:00,220.0,18.55,18.2,18.4,-4.9400005,-21.030228,91.0,2870,0.31662670684814453,False,REGULAR,USD,call
AAPL260320C00230000,2025-05-02 15:20:55+00:00,230.0,14.1,14.05,14.25,-4.7299995,-25.119488,69.0,1995,0.30431298721313477,False,REGULAR,USD,call
AAPL260320C00240000,2025-05-02 15:11:39+00:00,240.0,10.7,10.6,10.75,-3.6900005,-25.64281,120.0,3898,0.29273168212890616,False,REGULAR,USD,call
AAPL260320C00250000,2025-05-02 15:47:37+00:00,250.0,8.03,7.85,7.95,-3.12,-27.982063,86.0,4606,0.2829661547851562,False,REGULAR,USD,call
AAPL260320C00260000,2025-05-02 14:32:47+00:00,260.0,6.15,5.65,5.8,-1.9999995,-24.539873,30.0,3742,0.2752452847290039,False,REGULAR,USD,call
AAPL260320C00270000,2025-05-02 15:47:05+00:00,270.0,4.2,4.1,4.25,-1.9000001,-31.147545,192.0,2587,0.27054562469482424,False,REGULAR,USD,call
AAPL260320C00280000,2025-05-02 14:32:17+00:00,280.0,3.1,2.92,3.05,-1.3600001,-30.493277,10.0,1381,0.26587648193359376,False,REGULAR,USD,call
AAPL260320C00290000,2025-05-02 14:40:03+00:00,290.0,2.22,2.1,2.18,-1.0899999,-32.93051,72.0,1250,0.2623975128173829,False,REGULAR,USD,call
AAPL260320C00300000,2025-05-02 15:44:27+00:00,300.0,1.57,1.51,1.58,-0.7299999,-31.739128,124.0,3588,0.260749580078125,False,REGULAR,USD,call
AAPL260320C00310000,2025-05-02 14:12:56+00:00,310.0,1.12,1.13,1.2,-0.59000003,-34.502926,15.0,734,0.2620923400878906,False,REGULAR,USD,call
AAPL260320C00320000,2025-05-02 14:17:12+00:00,320.0,0.87,0.84,0.91,-0.34000003,-28.099176,27.0,604,0.2633130310058594,False,REGULAR,USD,call
AAPL260320C00330000,2025-05-02 14:11:55+00:00,330.0,0.66,0.64,0.71,-0.28999996,-30.526312,8.0,467,0.2657544128417969,False,REGULAR,USD,call
AAPL260320C00340000,2025-05-02 13:54:50+00:00,340.0,0.53,0.51,0.57,-0.19000006,-26.388895,12.0,114,0.2691723474121094,False,REGULAR,USD,call
AAPL260320C00350000,2025-05-02 15:44:27+00:00,350.0,0.42,0.4,0.46,-0.18000004,-29.032265,44.0,1400,0.27246821289062495,False,REGULAR,USD,call
AAPL260320C00360000,2025-04-29 16:29:40+00:00,360.0,0.43,0.35,0.39,0.0,0.0,1.0,723,0.27735097656249996,False,REGULAR,USD,call
AAPL260320C00370000,2025-05-01 19:37:18+00:00,370.0,0.33,0.27,0.33,-0.049999982,-13.15789,30.0,890,0.2819896020507812,False,REGULAR,USD,call
AAPL260320P00090000,2025-05-02 14:49:59+00:00,90.0,0.76,0.75,0.82,-0.050000012,-6.1728406,5.0,102,0.48120635986328125,False,REGULAR,USD,put
AAPL260320P00095000,2025-04-29 15:39:38+00:00,95.0,0.91,0.89,0.96,0.0,0.0,1.0,237,0.4660697924804688,False,REGULAR,USD,put
AAPL260320P00100000,2025-05-02 14:14:28+00:00,100.0,1.08,1.05,1.12,-0.049999952,-4.4247746,22.0,186,0.45166563964843753,False,REGULAR,USD,put
AAPL260320P00105000,2025-04-17 19:54:32+00:00,105.0,2.06,1.23,1.31,0.0,0.0,7.0,29,0.43848217773437503,False,REGULAR,USD,put
AAPL260320P00110000,2025-05-01 13:34:11+00:00,110.0,1.52,1.43,1.51,0.0,0.0,2.0,522,0.42456630126953127,False,REGULAR,USD,put
AAPL260320P00115000,2025-05-01 15:06:14+00:00,115.0,1.6,1.67,1.75,0.0,0.0,1.0,719,0.41199318481445313,False,REGULAR,USD,put
AAPL260320P00120000,2025-05-02 13:30:09+00:00,120.0,1.98,1.97,2.05,0.110000014,5.882354,20.0,342,0.4011900701904296,False,REGULAR,USD,put
AAPL260320P00125000,2025-05-02 13:45:33+00:00,125.0,2.37,2.28,2.35,0.23999977,11.267594,1.0,869,0.38892212646484375,False,REGULAR,USD,put
AAPL260320P00130000,2025-05-02 13:54:04+00:00,130.0,2.71,2.66,2.74,0.17000008,6.6929164,7.0,334,0.3789124609375,False,REGULAR,USD,put
AAPL260320P00135000,2025-05-02 13:30:00+00:00,135.0,3.2,3.05,3.2,0.1500001,4.918036,3.0,590,0.3698183135986328,False,REGULAR,USD,put
AAPL260320P00140000,2025-05-02 14:14:11+00:00,140.0,3.6,3.55,3.65,0.25,7.462687,50.0,1171,0.35871002624511716,False,REGULAR,USD,put
AAPL260320P00145000,2025-05-02 15:50:34+00:00,145.0,4.15,4.1,4.25,0.0,0.0,71.0,315,0.350470362548828,False,REGULAR,USD,put
AAPL260320P00150000,2025-05-02 15:32:03+00:00,150.0,4.8,4.75,4.85,0.4000001,9.090911,7.0,942,0.3404606970214844,False,REGULAR,USD,put
AAPL260320P00155000,2025-05-02 14:38:06+00:00,155.0,5.45,5.5,5.6,0.3499999,6.862744,2.0,2318,0.3323736196899414,False,REGULAR,USD,put
AAPL260320P00160000,2025-05-02 15:48:57+00:00,160.0,6.35,6.25,6.4,0.5999999,10.434781,158.0,2145,0.32355412780761705,False,REGULAR,USD,put
AAPL260320P00165000,2025-05-02 14:32:06+00:00,165.0,7.1,7.15,7.35,0.50999975,7.7389946,2.0,2962,0.31592480957031244,False,REGULAR,USD,put
AAPL260320P00170000,2025-05-02 14:14:05+00:00,170.0,8.35,8.25,8.45,0.9500003,12.837842,56.0,1877,0.3091194577026367,False,REGULAR,USD,put
AAPL260320P00175000,2025-05-02 15:38:59+00:00,175.0,9.5,9.45,9.6,0.6999998,7.9545436,16.0,1345,0.3011239321899414,False,REGULAR,USD,put
AAPL260320P00180000,2025-05-02 15:26:33+00:00,180.0,10.95,10.7,10.85,1.3000002,13.471505,33.0,1503,0.2928232339477538,False,REGULAR,USD,put
AAPL260320P00185000,2025-05-02 15:40:27+00:00,185.0,12.25,12.15,12.4,1.1000004,9.865475,10.0,1408,0.28708598663330076,False,REGULAR,USD,put
AAPL260320P00190000,2025-05-02 14:55:46+00:00,190.0,13.8,13.8,13.95,1.3500004,10.843376,5.0,2401,0.2791514956665039,False,REGULAR,USD,put
AAPL260320P00195000,2025-05-02 13:58:19+00:00,195.0,16.3,15.55,15.75,2.2999992,16.428566,14.0,3560,0.27259028198242186,False,REGULAR,USD,put
