contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType
NDXP260331C14000000,2025-04-07 13:30:41+00:00,14000.0,3986.7,6756.1,6875.7,0.0,0.0,,1,0.4348696955490112,True,REGULAR,USD,call
NDXP260331C14400000,2025-04-07 13:30:40+00:00,14400.0,3830.9,6397.3,6504.2,0.0,0.0,,1,0.4179273639059066,True,REGULAR,USD,call
NDXP260331C17200000,2025-04-07 13:30:40+00:00,17200.0,1942.3,4098.3,4172.1,0.0,0.0,,1,0.34100619327545173,True,REGULAR,USD,call
NDXP260331C17400000,2025-04-07 13:30:40+00:00,17400.0,1822.3,3963.6,4026.5,0.0,0.0,,1,0.33760232526063916,True,REGULAR,USD,call
NDXP260331C17900000,2025-04-08 15:09:30+00:00,17900.0,2109.1,3578.4,3633.4,0.0,0.0,,1,0.32352051112413394,True,REGULAR,USD,call
NDXP260331C18000000,2025-04-21 13:55:31+00:00,18000.0,2115.26,3507.1,3554.0,0.0,0.0,1.0,0,0.32043349823236467,True,REGULAR,USD,call
NDXP260331C18100000,2025-04-08 15:09:30+00:00,18100.0,1995.6,3435.6,3482.2,0.0,0.0,,2,0.31841959663391106,True,REGULAR,USD,call
NDXP260331C18200000,2025-04-08 15:09:30+00:00,18200.0,1941.1,3367.7,3411.2,0.0,0.0,,1,0.31645409352302545,True,REGULAR,USD,call
NDXP260331C18300000,2025-04-11 13:52:30+00:00,18300.0,2362.98,3300.7,3348.4,0.0,0.0,,2,0.31561010019302366,True,REGULAR,USD,call
NDXP260331C18400000,2025-04-21 13:55:31+00:00,18400.0,1897.93,3231.2,3277.7,0.0,0.0,2.0,0,0.31353897870779035,True,REGULAR,USD,call
NDXP260331C18500000,2025-04-11 13:52:30+00:00,18500.0,2247.02,3164.5,3213.0,0.0,0.0,,4,0.31225677641153327,True,REGULAR,USD,call
NDXP260331C18600000,2025-04-21 13:55:31+00:00,18600.0,1793.76,3093.7,3141.0,0.0,0.0,1.0,2,0.3098566405773162,True,REGULAR,USD,call
NDXP260331C18700000,2025-05-01 14:06:47+00:00,18700.0,2880.63,3025.3,3071.3,0.0,0.0,1.0,0,0.307714709482193,True,REGULAR,USD,call
NDXP260331C18800000,2025-04-14 15:29:24+00:00,18800.0,2220.0,2959.8,3003.7,0.0,0.0,,1,0.3057961743617058,True,REGULAR,USD,call
NDXP260331C18900000,2025-05-01 14:06:47+00:00,18900.0,2750.37,2892.4,2937.2,0.0,0.0,1.0,1,0.30395631658554073,True,REGULAR,USD,call
NDXP260331C19000000,2025-04-23 15:21:08+00:00,19000.0,2091.3,2825.7,2876.2,0.0,0.0,1.0,1,0.3028004748725891,True,REGULAR,USD,call
NDXP260331C19100000,2025-04-14 15:29:24+00:00,19100.0,2048.0,2761.0,2805.0,0.0,0.0,,1,0.30015882343292233,True,REGULAR,USD,call
NDXP260331C20300000,2025-04-08 18:10:31+00:00,20300.0,855.6,2030.6,2070.3,0.0,0.0,,2,0.27852732206821446,False,REGULAR,USD,call
