contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType
SPXW250523C02200000,2025-04-07 15:14:30+00:00,2200.0,2848.5,3468.1,3485.4,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,call
SPXW250523C02400000,2025-04-23 19:53:42+00:00,2400.0,2985.41,3268.9,3287.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,call
SPXW250523C02600000,2025-04-04 15:30:31+00:00,2600.0,2607.4,3069.0,3086.6,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,call
SPXW250523C03000000,2025-04-23 19:34:15+00:00,3000.0,2377.19,2672.2,2688.6,0.0,0.0,2.0,5,1.0000000000000003e-05,True,REGULAR,USD,call
SPXW250523C03900000,2025-04-23 14:24:04+00:00,3900.0,1558.29,1770.6,1788.8,0.0,0.0,,3,1.0000000000000003e-05,True,REGULAR,USD,call
SPXW250523C04000000,2025-04-25 15:05:01+00:00,4000.0,1497.18,1674.3,1691.4,0.0,0.0,200.0,453,0.5273484765625001,True,REGULAR,USD,call
SPXW250523C04200000,2025-04-07 05:18:49+00:00,4200.0,839.9,1474.7,1490.3,0.0,0.0,,5,1.0000000000000003e-05,True,REGULAR,USD,call
SPXW250523C04300000,2025-04-17 13:43:09+00:00,4300.0,1027.65,1376.0,1393.2,0.0,0.0,1.0,1,0.5019581054687501,True,REGULAR,USD,call
SPXW250523C04600000,2025-04-09 13:42:36+00:00,4600.0,574.3,1080.9,1092.2,0.0,0.0,,1,0.36688865539550786,True,REGULAR,USD,call
SPXW250523C04775000,2025-04-24 15:11:24+00:00,4775.0,704.9,906.7,916.7,0.0,0.0,,2,0.292853751220703,True,REGULAR,USD,call
SPXW250523C04780000,2025-04-24 15:11:24+00:00,4780.0,700.2,901.5,915.0,0.0,0.0,,2,0.36002226898193357,True,REGULAR,USD,call
SPXW250523C04800000,2025-04-24 16:05:14+00:00,4800.0,680.29,885.8,892.1,0.0,0.0,5.0,67,0.29822479125976553,True,REGULAR,USD,call
SPXW250523C04820000,2025-04-25 17:10:56+00:00,4820.0,716.7,862.1,876.9,0.0,0.0,1.0,0,0.36772788040161136,True,REGULAR,USD,call
SPXW250523C04825000,2025-04-23 15:11:47+00:00,4825.0,651.69,856.8,867.9,0.0,0.0,,5,0.30942463043212887,True,REGULAR,USD,call
SPXW250523C04830000,2025-04-23 15:11:47+00:00,4830.0,647.24,852.1,867.0,0.0,0.0,5.0,5,0.3649202912902832,True,REGULAR,USD,call
SPXW250523C04870000,2025-04-24 15:13:10+00:00,4870.0,620.95,812.8,825.7,0.0,0.0,2.0,16,0.3354711228942871,True,REGULAR,USD,call
SPXW250523C04875000,2025-04-24 15:13:10+00:00,4875.0,616.35,810.7,821.3,0.0,0.0,2.0,11,0.34029285202026366,True,REGULAR,USD,call
SPXW250523C04880000,2025-04-07 16:47:21+00:00,4880.0,340.3,802.6,817.8,0.0,0.0,,18,0.35336950347900387,True,REGULAR,USD,call
SPXW250523C04890000,2025-04-08 18:44:27+00:00,4890.0,359.84,788.6,801.2,0.0,0.0,,1,0.23462679443359374,True,REGULAR,USD,call
SPXW250523C04900000,2025-04-23 13:30:03+00:00,4900.0,566.29,784.4,796.4,0.0,0.0,3.0,117,0.3318853433227539,True,REGULAR,USD,call
SPXW250523C04910000,2025-04-09 15:38:57+00:00,4910.0,333.3,774.3,783.8,0.0,0.0,,8,0.29599703033447267,True,REGULAR,USD,call
SPXW250523C04920000,2025-04-09 15:38:57+00:00,4920.0,325.8,763.3,775.4,0.0,0.0,,3,0.31343765182495115,True,REGULAR,USD,call
SPXW250523C04925000,2025-04-22 15:59:39+00:00,4925.0,428.63,758.4,773.6,0.0,0.0,1.0,4,0.3427494924926757,True,REGULAR,USD,call
SPXW250523C04930000,2025-04-22 15:59:39+00:00,4930.0,424.53,753.5,768.7,0.0,0.0,1.0,10,0.34160509475708006,True,REGULAR,USD,call
SPXW250523C04940000,2025-04-22 15:52:52+00:00,4940.0,402.44,739.7,752.2,0.0,0.0,1.0,1,0.25586681640625003,True,REGULAR,USD,call
SPXW250523C04950000,2025-04-07 16:23:26+00:00,4950.0,290.4,735.4,746.9,0.0,0.0,,8,0.31783213912963865,True,REGULAR,USD,call
SPXW250523C04960000,2025-04-22 15:52:52+00:00,4960.0,386.17,724.6,739.4,0.0,0.0,1.0,11,0.3352727606201171,True,REGULAR,USD,call
SPXW250523C04970000,2025-04-22 16:00:26+00:00,4970.0,396.31,714.2,725.5,0.0,0.0,1.0,2,0.29610384078979496,True,REGULAR,USD,call
SPXW250523C04975000,2025-04-22 16:00:26+00:00,4975.0,392.31,709.5,722.2,0.0,0.0,1.0,17,0.3110267872619628,True,REGULAR,USD,call
SPXW250523C04980000,2025-04-21 18:05:07+00:00,4980.0,271.17,705.1,719.8,0.0,0.0,4.0,3,0.3302679278564453,True,REGULAR,USD,call
SPXW250523C04990000,2025-04-21 17:20:20+00:00,4990.0,273.07,699.7,709.5,0.0,0.0,2.0,8,0.32401188690185534,True,REGULAR,USD,call
SPXW250523C05000000,2025-04-30 13:55:33+00:00,5000.0,488.34,688.8,694.6,0.0,0.0,2.0,1376,0.2748943360900879,True,REGULAR,USD,call
SPXW250523C05010000,2025-04-25 13:35:33+00:00,5010.0,524.42,677.2,690.6,0.0,0.0,13.0,42,0.3238287832641601,True,REGULAR,USD,call
SPXW250523C05020000,2025-04-15 15:30:06+00:00,5020.0,481.4,667.2,679.5,0.0,0.0,2.0,6,0.3119728227233886,True,REGULAR,USD,call
SPXW250523C05025000,2025-04-09 15:25:50+00:00,5025.0,271.12,664.0,674.6,0.0,0.0,,4,0.31069109725952143,True,REGULAR,USD,call
SPXW250523C05030000,2025-04-07 19:46:23+00:00,5030.0,268.6,656.0,669.4,0.0,0.0,,9,0.30724264541625973,True,REGULAR,USD,call
SPXW250523C05040000,2025-04-25 16:34:21+00:00,5040.0,500.42,646.0,657.0,0.0,0.0,6.0,11,0.28433943206787105,True,REGULAR,USD,call
SPXW250523C05050000,2025-04-21 17:57:59+00:00,5050.0,229.12,641.0,648.3,0.0,0.0,3.0,25,0.2910684907531737,True,REGULAR,USD,call
SPXW250523C05060000,2025-04-21 14:28:04+00:00,5060.0,257.97,627.0,639.0,0.0,0.0,2.0,7,0.2923654748535155,True,REGULAR,USD,call
SPXW250523C05070000,2025-04-08 13:58:35+00:00,5070.0,343.3,619.0,631.3,0.0,0.0,,6,0.30383996948242187,True,REGULAR,USD,call
SPXW250523C05075000,2025-04-22 16:34:57+00:00,5075.0,327.84,612.4,623.6,0.0,0.0,2.0,25,0.2834849484252929,True,REGULAR,USD,call
SPXW250523C05080000,2025-04-23 16:46:08+00:00,5080.0,388.43,609.4,621.0,0.0,0.0,3.0,24,0.2978280667114257,True,REGULAR,USD,call
SPXW250523C05090000,2025-04-21 19:37:51+00:00,5090.0,215.2,598.0,611.7,0.0,0.0,4.0,18,0.2980416876220703,True,REGULAR,USD,call
SPXW250523C05100000,2025-04-25 13:38:39+00:00,5100.0,447.73,590.0,600.5,0.0,0.0,4.0,55,0.28646038253784173,True,REGULAR,USD,call
SPXW250523C05110000,2025-04-25 19:19:43+00:00,5110.0,453.83,582.0,591.4,0.0,0.0,13.0,43,0.28794047027587877,True,REGULAR,USD,call
SPXW250523C05120000,2025-04-21 17:57:59+00:00,5120.0,188.04,570.3,580.5,0.0,0.0,8.0,8,0.27830464134216304,True,REGULAR,USD,call
SPXW250523C05125000,2025-04-23 19:58:31+00:00,5125.0,341.83,564.5,579.0,0.0,0.0,1.0,7,0.296355608291626,True,REGULAR,USD,call
SPXW250523C05130000,2025-04-28 19:57:55+00:00,5130.0,447.7,559.7,570.9,0.0,0.0,4.0,8,0.2766795965576171,True,REGULAR,USD,call
SPXW250523C05140000,2025-04-23 19:58:31+00:00,5140.0,330.07,553.3,563.9,0.0,0.0,1.0,5,0.2894052993774413,True,REGULAR,USD,call
