contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType
SPY250930C00360000,2025-04-08 16:18:35+00:00,360.0,164.24,210.54,213.55,0.0,0.0,,4,0.5171557073974609,True,REGULAR,USD,call
SPY250930C00380000,2025-04-25 18:44:54+00:00,380.0,178.37,190.93,194.19,0.0,0.0,4.0,2,0.4800467034912109,True,REGULAR,USD,call
SPY250930C00390000,2025-05-01 17:20:47+00:00,390.0,179.08,181.32,184.57,0.0,0.0,9.0,9,0.46249927154541026,True,REGULAR,USD,call
SPY250930C00395000,2025-04-08 16:57:45+00:00,395.0,128.3,176.71,179.83,0.0,0.0,,74,0.45490047058105465,True,REGULAR,USD,call
SPY250930C00400000,2025-04-14 18:15:48+00:00,400.0,150.86,172.97,173.87,0.0,0.0,5.0,11,0.42542078491210944,True,REGULAR,USD,call
SPY250930C00405000,2025-04-08 16:57:45+00:00,405.0,119.49,168.53,169.41,0.0,0.0,31.0,33,0.42328457580566403,True,REGULAR,USD,call
SPY250930C00410000,2025-04-09 16:54:06+00:00,410.0,110.5,163.67,164.59,0.0,0.0,74.0,128,0.41449560119628903,True,REGULAR,USD,call
SPY250930C00415000,2025-04-09 15:47:25+00:00,415.0,104.0,158.64,159.47,0.0,0.0,74.0,140,0.40064075927734377,True,REGULAR,USD,call
SPY250930C00420000,2025-04-07 13:30:00+00:00,420.0,91.91,154.01,154.86,0.0,0.0,1.0,8,0.3953002365112305,True,REGULAR,USD,call
SPY250930C00425000,2025-04-21 18:49:06+00:00,425.0,100.08,149.22,150.02,0.0,0.0,2.0,36,0.38611453735351553,True,REGULAR,USD,call
SPY250930C00430000,2025-05-01 18:55:09+00:00,430.0,141.29,144.72,145.5,0.0,0.0,20.0,22,0.3816895327758788,True,REGULAR,USD,call
SPY250930C00435000,2025-04-30 14:57:37+00:00,435.0,123.55,140.09,141.02,0.0,0.0,1.0,29,0.37746289047241205,True,REGULAR,USD,call
SPY250930C00440000,2025-04-09 17:27:22+00:00,440.0,108.41,135.3,136.11,0.0,0.0,1.0,18,0.36688865539550786,True,REGULAR,USD,call
SPY250930C00445000,2025-04-29 19:28:39+00:00,445.0,120.86,130.77,131.52,0.0,0.0,2.0,9,0.3606783903503417,True,REGULAR,USD,call
SPY250930C00450000,2025-05-01 19:58:55+00:00,450.0,126.03,126.08,126.86,6.029999,5.024999,1.0,171,0.3533084689331054,True,REGULAR,USD,call
SPY250930C00455000,2025-04-24 19:48:13+00:00,455.0,105.99,121.7,122.48,0.0,0.0,11.0,40,0.34924967163085935,True,REGULAR,USD,call
SPY250930C00460000,2025-04-29 18:04:24+00:00,460.0,107.87,116.94,117.61,0.0,0.0,6.0,106,0.33887379882812496,True,REGULAR,USD,call
SPY250930C00465000,2025-05-01 16:21:52+00:00,465.0,107.84,112.65,113.46,0.0,0.0,5.0,72,0.336920693359375,True,REGULAR,USD,call
SPY250930C00470000,2025-05-01 16:53:28+00:00,470.0,102.97,108.27,108.85,0.0,0.0,1.0,77,0.3291998233032226,True,REGULAR,USD,call
SPY250930C00475000,2025-05-01 19:56:21+00:00,475.0,98.47,103.56,104.26,0.0,0.0,2.0,19,0.3215247291564941,True,REGULAR,USD,call
SPY250930C00480000,2025-05-01 15:52:10+00:00,480.0,96.06,99.19,99.88,0.0,0.0,21.0,276,0.31583325775146476,True,REGULAR,USD,call
SPY250930C00485000,2025-04-10 13:52:50+00:00,485.0,71.71,95.11,95.71,0.0,0.0,3.0,63,0.3119423054504394,True,REGULAR,USD,call
SPY250930C00490000,2025-05-01 13:44:35+00:00,490.0,86.49,90.49,91.09,0.0,0.0,12.0,91,0.303168589477539,True,REGULAR,USD,call
SPY250930C00495000,2025-05-01 15:06:30+00:00,495.0,84.99,86.31,86.94,0.0,0.0,6.0,70,0.2986825503540038,True,REGULAR,USD,call
SPY250930C00500000,2025-05-01 19:31:04+00:00,500.0,79.54,82.15,82.64,0.0,0.0,11.0,297,0.2923654748535155,True,REGULAR,USD,call
SPY250930C00505000,2025-05-02 13:31:56+00:00,505.0,78.03,78.09,78.61,2.7799988,3.6943505,71.0,1480,0.2880930566406249,True,REGULAR,USD,call
SPY250930C00510000,2025-05-02 15:22:15+00:00,510.0,73.6,73.91,74.48,2.0199966,2.8220127,4.0,207,0.28244736114501956,True,REGULAR,USD,call
SPY250930C00515000,2025-05-01 15:53:08+00:00,515.0,69.91,69.89,70.42,2.7200012,4.048223,1.0,196,0.27696951065063474,True,REGULAR,USD,call
SPY250930C00516000,2025-04-29 19:28:39+00:00,516.0,60.84,68.92,69.71,0.0,0.0,4.0,49,0.2766643379211425,True,REGULAR,USD,call
SPY250930C00517000,2025-04-25 19:56:00+00:00,517.0,57.19,68.3,69.1,0.0,0.0,1.0,44,0.27715261428833,True,REGULAR,USD,call
SPY250930C00518000,2025-04-09 19:42:59+00:00,518.0,52.55,67.59,68.34,0.0,0.0,20.0,56,0.27638968246459955,True,REGULAR,USD,call
SPY250930C00519000,2025-04-28 14:46:42+00:00,519.0,56.42,66.8,67.54,0.0,0.0,3.0,114,0.2752605433654785,True,REGULAR,USD,call
SPY250930C00520000,2025-05-01 19:54:56+00:00,520.0,64.72,66.09,66.61,2.3300018,3.7345757,1.0,1386,0.27306329971313476,True,REGULAR,USD,call
SPY250930C00521000,2025-04-17 19:58:34+00:00,521.0,40.32,65.09,65.97,0.0,0.0,5.0,18,0.2732006274414062,True,REGULAR,USD,call
SPY250930C00522000,2025-04-23 13:40:27+00:00,522.0,48.79,64.43,65.14,0.0,0.0,1.0,36,0.27176631561279296,True,REGULAR,USD,call
SPY250930C00523000,2025-05-01 14:16:55+00:00,523.0,60.02,63.64,64.35,0.0,0.0,2.0,56,0.27065243515014653,True,REGULAR,USD,call
SPY250930C00524000,2025-04-25 14:23:39+00:00,524.0,48.45,62.8,63.56,0.0,0.0,1.0,117,0.26950803741455076,True,REGULAR,USD,call
SPY250930C00525000,2025-05-01 19:31:51+00:00,525.0,59.71,62.24,62.76,0.0,0.0,4.0,2560,0.2682720878601074,True,REGULAR,USD,call
SPY250930C00526000,2025-05-01 13:52:29+00:00,526.0,58.37,61.28,62.02,0.0,0.0,2.0,464,0.26749389739990237,True,REGULAR,USD,call
SPY250930C00527000,2025-04-24 15:11:42+00:00,527.0,46.11,60.55,61.25,0.0,0.0,1.0,44,0.2664410514831543,True,REGULAR,USD,call
SPY250930C00528000,2025-04-24 15:11:42+00:00,528.0,45.46,59.48,60.21,0.0,0.0,1.0,204,0.26328251373291023,True,REGULAR,USD,call
SPY250930C00529000,2025-04-24 19:53:03+00:00,529.0,46.65,58.9,59.66,0.0,0.0,5.0,24,0.26390811782836915,True,REGULAR,USD,call
SPY250930C00530000,2025-05-01 19:45:05+00:00,530.0,57.54,58.31,58.82,2.0800018,3.7504542,1.0,382,0.26226018508911136,True,REGULAR,USD,call
SPY250930C00531000,2025-04-25 13:32:28+00:00,531.0,44.51,57.49,58.16,0.0,0.0,1.0,8,0.2619855296325684,True,REGULAR,USD,call
SPY250930C00532000,2025-05-01 16:25:26+00:00,532.0,53.12,56.48,57.19,0.0,0.0,2.0,11,0.2593152682495118,True,REGULAR,USD,call
SPY250930C00533000,2025-05-02 15:32:09+00:00,533.0,55.7,56.02,56.67,2.170002,4.0538054,1.0,51,0.260047682800293,True,REGULAR,USD,call
SPY250930C00534000,2025-05-02 14:25:47+00:00,534.0,55.15,55.07,55.73,10.200001,22.691881,1.0,24,0.25757578369140627,True,REGULAR,USD,call
SPY250930C00535000,2025-04-29 17:50:26+00:00,535.0,46.97,54.36,54.85,0.0,0.0,1.0,122,0.2555311264038086,True,REGULAR,USD,call
SPY250930C00536000,2025-05-01 13:51:59+00:00,536.0,51.0,53.69,54.37,0.0,0.0,1.0,23,0.2564771618652344,True,REGULAR,USD,call
SPY250930C00537000,2025-05-01 19:57:25+00:00,537.0,52.4,52.98,53.65,3.800003,7.8189363,1.0,17,0.25560741958618166,True,REGULAR,USD,call
SPY250930C00538000,2025-05-01 19:58:52+00:00,538.0,47.48,52.04,52.71,0.0,0.0,1.0,16,0.2530592272949219,True,REGULAR,USD,call
SPY250930C00539000,2025-04-30 14:09:18+00:00,539.0,38.0,51.23,51.89,0.0,0.0,2.0,45,0.2513960359191894,True,REGULAR,USD,call
SPY250930C00540000,2025-05-02 15:10:24+00:00,540.0,50.65,50.89,51.29,2.25,4.6487603,2.0,417,0.25133500137329096,True,REGULAR,USD,call
SPY250930C00541000,2025-05-01 16:40:53+00:00,541.0,46.63,50.02,50.64,0.0,0.0,1.0,70,0.25087724227905267,True,REGULAR,USD,call
SPY250930C00542000,2025-04-28 14:09:34+00:00,542.0,39.63,49.29,49.91,0.0,0.0,1.0,48,0.24979387908935546,True,REGULAR,USD,call
SPY250930C00543000,2025-05-01 19:28:10+00:00,543.0,46.31,48.49,49.15,0.0,0.0,2.0,83,0.24848163635253906,True,REGULAR,USD,call
SPY250930C00544000,2025-04-28 14:09:34+00:00,544.0,38.36,47.61,48.27,0.0,0.0,2.0,78,0.2462691340637207,True,REGULAR,USD,call
SPY250930C00545000,2025-05-01 16:52:32+00:00,545.0,47.06,47.0,47.46,3.6400032,8.383241,4.0,218,0.24454490814208985,True,REGULAR,USD,call
SPY250930C00546000,2025-05-01 16:25:21+00:00,546.0,43.08,46.39,47.0,0.0,0.0,1.0,90,0.2453307279205322,True,REGULAR,USD,call
SPY250930C00547000,2025-04-30 16:26:00+00:00,547.0,35.21,45.46,46.07,0.0,0.0,6.0,82,0.2426986131286621,True,REGULAR,USD,call
SPY250930C00548000,2025-04-28 19:06:17+00:00,548.0,34.83,44.77,45.43,0.0,0.0,24.0,84,0.24213404357910157,True,REGULAR,USD,call
SPY250930C00549000,2025-04-30 19:55:27+00:00,549.0,38.3,44.22,44.83,0.0,0.0,2.0,57,0.2418136122131348,True,REGULAR,USD,call
SPY250930C00550000,2025-05-02 14:58:04+00:00,550.0,42.99,43.56,43.98,1.4700012,3.5404654,22.0,1967,0.239692661743164,True,REGULAR,USD,call
SPY250930C00551000,2025-05-02 14:20:34+00:00,551.0,42.4,42.75,43.32,1.8500023,4.5622745,2.0,70,0.23889921264648437,True,REGULAR,USD,call
SPY250930C00552000,2025-04-29 17:47:28+00:00,552.0,35.11,42.13,42.77,0.0,0.0,19.0,318,0.23885343673706055,True,REGULAR,USD,call
SPY250930C00553000,2025-04-29 20:00:22+00:00,553.0,34.68,41.5,42.08,0.0,0.0,13.0,163,0.23778533218383785,True,REGULAR,USD,call
SPY250930C00554000,2025-05-01 15:15:10+00:00,554.0,40.58,40.62,41.12,0.58000183,1.4500046,23.0,367,0.23479463943481443,True,REGULAR,USD,call
SPY250930C00555000,2025-05-02 13:41:52+00:00,555.0,39.4,40.19,40.59,1.2000008,3.1413631,24.0,396,0.23480989807128905,True,REGULAR,USD,call
SPY250930C00556000,2025-05-02 14:44:59+00:00,556.0,39.03,39.31,39.75,1.7199974,4.610017,4.0,179,0.2326126544189453,True,REGULAR,USD,call
SPY250930C00557000,2025-04-30 19:51:19+00:00,557.0,38.52,38.64,39.18,5.8899994,18.05087,1.0,259,0.23228459373474122,True,REGULAR,USD,call
SPY250930C00558000,2025-05-01 19:17:45+00:00,558.0,35.7,38.03,38.5,0.0,0.0,2.0,73,0.23116308395385743,True,REGULAR,USD,call
SPY250930C00559000,2025-05-01 14:57:19+00:00,559.0,36.31,37.42,37.97,0.0,0.0,7.0,510,0.23104101486206058,True,REGULAR,USD,call
SPY250930C00560000,2025-05-02 14:59:36+00:00,560.0,36.89,36.85,37.21,2.040001,5.8536615,68.0,872,0.22930153030395511,True,REGULAR,USD,call
SPY250930C00561000,2025-05-01 20:00:42+00:00,561.0,34.4,35.92,36.4,1.9500008,6.0092473,11.0,116,0.22718057983398435,True,REGULAR,USD,call
SPY250930C00562000,2025-05-02 13:52:41+00:00,562.0,33.74,35.24,35.77,0.63000107,1.9027516,11.0,245,0.22629557891845703,True,REGULAR,USD,call
SPY250930C00563000,2025-05-02 14:04:33+00:00,563.0,34.02,34.69,35.17,1.3800011,4.2279444,1.0,90,0.22556316436767576,True,REGULAR,USD,call
SPY250930C00564000,2025-05-02 13:59:26+00:00,564.0,34.4,34.03,34.53,9.410002,37.65507,6.0,141,0.2245408357238769,True,REGULAR,USD,call
SPY250930C00565000,2025-05-02 14:48:48+00:00,565.0,33.59,33.61,33.96,4.040001,13.671746,46.0,247,0.22396100753784176,True,REGULAR,USD,call
SPY250930C00566000,2025-05-01 16:25:38+00:00,566.0,30.27,32.86,33.39,0.0,0.0,7.0,141,0.2233582913970947,True,REGULAR,USD,call
SPY250930C00567000,2025-04-29 18:05:31+00:00,567.0,26.56,32.22,32.65,0.0,0.0,3.0,142,0.22155014297485348,True,REGULAR,USD,call
SPY250930C00568000,2025-04-30 13:36:45+00:00,568.0,21.85,31.6,32.11,0.0,0.0,1.0,92,0.2210923838806152,False,REGULAR,USD,call
SPY250930C00569000,2025-05-02 14:58:57+00:00,569.0,30.89,30.79,31.25,5.75,22.871918,1.0,343,0.21839160522460935,False,REGULAR,USD,call
SPY250930C00570000,2025-05-02 14:25:57+00:00,570.0,30.28,30.45,30.54,4.5300007,17.592236,26.0,813,0.2166978965759277,False,REGULAR,USD,call
SPY250930C00571000,2025-05-01 13:36:59+00:00,571.0,27.3,29.93,30.02,0.0,0.0,1.0,66,0.21627065475463864,False,REGULAR,USD,call
SPY250930C00572000,2025-04-30 20:00:04+00:00,572.0,29.1,29.22,29.31,5.6499996,24.093813,1.0,183,0.21451591156005856,False,REGULAR,USD,call
SPY250930C00573000,2025-04-28 14:36:12+00:00,573.0,21.0,28.7,28.79,0.0,0.0,1.0,192,0.2140276351928711,False,REGULAR,USD,call
SPY250930C00574000,2025-05-02 14:37:48+00:00,574.0,27.66,27.89,27.98,1.5200005,5.814845,2.0,96,0.21150996017456053,False,REGULAR,USD,call
SPY250930C00575000,2025-05-02 14:05:31+00:00,575.0,27.35,27.24,27.32,1.6499996,6.4202323,95.0,438,0.2099917258453369,False,REGULAR,USD,call
SPY250930C00576000,2025-05-02 14:02:09+00:00,576.0,25.89,26.87,26.96,0.30999947,1.2118822,1.0,152,0.21048763153076172,False,REGULAR,USD,call
SPY250930C00577000,2025-05-01 15:27:53+00:00,577.0,25.5,26.29,26.38,0.0,0.0,5.0,483,0.20945004425048824,False,REGULAR,USD,call
SPY250930C00578000,2025-05-01 19:59:38+00:00,578.0,22.12,25.53,25.62,0.0,0.0,3.0,148,0.20713073150634764,False,REGULAR,USD,call
SPY250930C00579000,2025-05-01 19:59:37+00:00,579.0,21.57,24.91,25.0,0.0,0.0,80.0,153,0.20574219558715817,False,REGULAR,USD,call
SPY250930C00580000,2025-05-02 15:51:49+00:00,580.0,24.5,24.41,24.49,1.7800007,7.83451,35.0,966,0.20507081558227536,False,REGULAR,USD,call
SPY250930C00581000,2025-04-30 13:37:32+00:00,581.0,15.58,23.91,24.3,0.0,0.0,28.0,197,0.20656616195678706,False,REGULAR,USD,call
